player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
897549,Will Jacks,5 Jul 2018,v Middlesex,Lord's,1,2,3,6,4,0,0,75,caught,2,DNB,-,-,-,-
897549,Will Jacks,6 Jul 2018,v Kent,The Oval,2,1,12,8,9,1,1,133.33,caught,1,DNB,-,-,-,-
897549,Will Jacks,12 Jul 2018,v Essex,The Oval,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
897549,Will Jacks,3 Aug 2018,v Middlesex,The Oval,2,-,DNB,-,-,-,-,-,-,1,1.0,0,14,0,14
897549,Will Jacks,5 Aug 2018,v Essex,Chelmsford,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
897549,Will Jacks,9 Aug 2018,v Sussex,The Oval,-,-,TDNB,-,-,-,-,-,-,1,DNB,-,-,-,-
897549,Will Jacks,10 Aug 2018,v Somerset,Taunton,1,4,53,37,31,1,6,170.96,caught,2,DNB,-,-,-,-
897549,Will Jacks,12 Aug 2018,v Gloucs,Bristol,2,3,25,15,15,1,2,166.66,caught,1,DNB,-,-,-,-
897549,Will Jacks,15 Aug 2018,v Hampshire,The Oval,2,3,7,12,11,1,0,63.63,caught,1,DNB,-,-,-,-
897549,Will Jacks,17 Aug 2018,v Glamorgan,Cardiff,2,-,DNB,-,-,-,-,-,-,1,1.0,0,12,0,12
897549,Will Jacks,19 Jul 2019,v Essex,Chelmsford,2,1,29,8,8,4,2,362.5,caught,1,DNB,-,-,-,-
897549,Will Jacks,23 Jul 2019,v Middlesex,The Oval,2,1,1,2,4,0,0,25,caught,1,DNB,-,-,-,-
897549,Will Jacks,25 Jul 2019,v Glamorgan,The Oval,1,3,40,27,26,4,2,153.84,caught,2,DNB,-,-,-,-
897549,Will Jacks,26 Jul 2019,v Sussex,Hove,2,3,35,23,19,5,2,184.21,bowled,1,1.0,0,14,0,14
897549,Will Jacks,30 Jul 2019,v Kent,The Oval,1,1,5,6,7,1,0,71.42,caught,2,DNB,-,-,-,-
897549,Will Jacks,2 Aug 2019,v Somerset,Taunton,1,1,9,8,8,1,0,112.5,caught,2,DNB,-,-,-,-
897549,Will Jacks,8 Aug 2019,v Middlesex,Lord's,2,1,14,12,11,1,1,127.27,bowled,1,DNB,-,-,-,-
897549,Will Jacks,9 Aug 2019,v Gloucs,The Oval,2,1,15,26,19,1,0,78.94,caught,1,DNB,-,-,-,-
897549,Will Jacks,11 Aug 2019,v Glamorgan,Cardiff,2,3,32,42,31,4,0,103.22,caught,1,DNB,-,-,-,-
897549,Will Jacks,15 Aug 2019,v Sussex,The Oval,1,6,1,4,2,0,0,50,caught,2,DNB,-,-,-,-
897549,Will Jacks,23 Aug 2019,v Kent,Canterbury,1,6,63,34,27,0,8,233.33,caught,2,DNB,-,-,-,-
897549,Will Jacks,27 Aug 2019,v Somerset,The Oval,2,5,9,7,5,2,0,180,caught,1,DNB,-,-,-,-
897549,Will Jacks,29 Aug 2019,v Essex,The Oval,2,6,19,14,12,0,2,158.33,caught,1,DNB,-,-,-,-
897549,Will Jacks,28 Aug 2020,v Sussex,Hove,-,-,TDNB,-,-,-,-,-,-,1,1.2,0,8,0,6
897549,Will Jacks,30 Aug 2020,v Essex,The Oval,2,1,6,7,6,1,0,100,caught,1,DNB,-,-,-,-
897549,Will Jacks,1 Sep 2020,v Kent,Canterbury,1,1,3,8,5,0,0,60,caught,2,DNB,-,-,-,-
897549,Will Jacks,3 Sep 2020,v Hampshire,The Oval,2,2,45*,44,31,5,0,145.16,not out,1,1.0,0,10,1,10
897549,Will Jacks,5 Sep 2020,v Middlesex,The Oval,2,1,4,11,8,0,0,50,caught,1,4.0,0,16,2,4
897549,Will Jacks,11 Sep 2020,v Essex,Chelmsford,2,2,29,19,15,6,0,193.33,bowled,1,3.0,0,25,0,8.33
897549,Will Jacks,14 Sep 2020,v Middlesex,Lord's,1,1,55,41,30,3,5,183.33,caught,2,4.0,0,23,0,5.75
897549,Will Jacks,16 Sep 2020,v Sussex,The Oval,2,2,65,41,39,6,3,166.66,bowled,1,3.0,0,29,2,9.66
897549,Will Jacks,18 Sep 2020,v Hampshire,Southampton,2,2,56*,56,35,6,1,160,not out,1,4.0,0,22,1,5.5
897549,Will Jacks,20 Sep 2020,v Kent,The Oval,2,2,4,8,5,0,0,80,caught,1,3.0,0,24,0,8
897549,Will Jacks,1 Oct 2020,v Kent,The Oval,1,4,23*,20,18,3,0,127.77,not out,2,4.0,0,15,4,3.75
897549,Will Jacks,3 Oct 2020,v Gloucs,Birmingham,2,2,16,14,11,3,0,145.45,bowled,1,2.0,0,5,1,2.5
897549,Will Jacks,4 Oct 2020,v Notts,Birmingham,1,3,3,7,4,0,0,75,caught,2,3.0,0,32,2,10.66
897549,Will Jacks,10 Dec 2020,v Sixers,Hobart,1,1,0,-,2,0,0,0,caught,2,DNB,-,-,-,-
897549,Will Jacks,13 Dec 2020,v Strikers,Hobart,1,2,34,-,25,2,2,136,caught,2,DNB,-,-,-,-
897549,Will Jacks,15 Dec 2020,v Strikers,Launceston,1,2,0,-,2,0,0,0,caught,2,1.0,0,13,0,13
897549,Will Jacks,19 Dec 2020,v Renegades,Hobart,2,2,10,-,7,1,0,142.85,run out,1,2.0,0,13,0,6.5
897549,Will Jacks,18 Jan 2021,v Thunder,Canberra,2,1,0,-,1,0,0,0,bowled,1,DNB,-,-,-,-
897549,Will Jacks,22 Jan 2021,v Scorchers,Melbourne (Docklands),2,6,21,-,15,0,3,140,caught,1,1.0,0,9,1,9
897549,Will Jacks,24 Jan 2021,v Sixers,Melbourne,1,5,1,-,3,0,0,33.33,caught,2,DNB,-,-,-,-
897549,Will Jacks,26 Jan 2021,v Renegades,Melbourne,2,5,13,-,14,0,0,92.85,caught,1,DNB,-,-,-,-
897549,Will Jacks,10 Jun 2021,v Middlesex,Lord's,1,2,70,38,24,9,5,291.66,run out,2,1.0,0,9,0,9
897549,Will Jacks,11 Jun 2021,v Somerset,Taunton,2,2,8,10,8,1,0,100,caught,1,DNB,-,-,-,-
897549,Will Jacks,14 Jun 2021,v Glamorgan,The Oval,2,2,10,25,8,2,0,125,caught,1,2.0,0,16,0,8
897549,Will Jacks,17 Jun 2021,v Sussex,The Oval,1,2,38*,26,18,4,3,211.11,not out,-,TDNB,-,-,-,-
897549,Will Jacks,21 Jun 2021,v Essex,The Oval,1,2,3,7,3,0,0,100,caught,2,3.0,0,22,0,7.33
897549,Will Jacks,23 Jun 2021,v Somerset,The Oval,1,1,65,52,43,6,3,151.16,caught,2,3.0,1,14,0,4.66
897549,Will Jacks,25 Jun 2021,v Middlesex,The Oval,2,1,47,33,26,5,3,180.76,caught,1,2.0,1,7,2,3.5
